Count,Response,Duration,Mem,Cpu
96,200,67,728989696,3
97,200,39,728989696,6
98,200,59,728989696,1
99,200,24,728985600,6
100,200,28,728985600,2
101,200,20,728989696,4
102,200,65,728981504,2
103,200,52,728981504,4
104,200,30,728989696,2
105,200,34,728989696,5
106,200,26,728989696,2
107,200,22,728989696,2
108,200,26,728989696,6
109,200,32,728989696,3
110,200,70,728989696,24
111,200,24,728711168,9
112,200,29,728711168,3
113,200,30,728711168,4
114,200,38,728711168,5
115,200,31,728711168,2
116,200,31,728711168,13
117,200,38,728965120,15
118,200,29,728965120,2
119,200,59,728965120,4
120,200,45,728965120,2
121,200,27,728965120,2
122,200,111,728838144,13
123,200,33,728854528,18
124,200,29,728846336,4
125,200,20,728862720,3
126,200,33,728862720,4
127,200,24,728862720,3
128,200,35,728862720,2
129,200,26,728862720,6
130,200,24,728862720,1
131,200,32,728862720,3
132,200,79,728862720,6
133,200,25,728862720,2
134,200,31,728862720,3
135,200,47,728854528,4
136,200,26,728862720,11
137,200,25,728862720,4
138,200,34,728862720,1
139,200,54,728862720,2
140,200,50,728862720,2
141,200,41,728862720,2
142,200,40,728862720,5
143,200,29,728862720,2
144,200,47,728862720,6
145,200,35,728862720,4
146,200,46,728854528,4
147,200,21,728862720,3
148,200,27,728862720,2
149,200,17,728862720,3
150,200,20,728862720,3
151,200,49,728862720,4
152,200,36,728862720,3
153,200,32,728862720,4
154,200,43,728862720,3
155,200,39,728862720,2
156,200,17,728862720,3
157,200,24,728862720,2
158,200,57,728862720,2
159,200,47,728862720,3
160,200,23,728862720,3
161,200,58,728862720,2
162,200,71,728862720,2
163,200,23,728862720,8
164,200,66,728862720,3
165,200,54,728862720,4
166,200,26,728862720,2
167,200,27,728735744,4
168,200,25,728735744,2
169,200,61,728735744,5
170,200,33,728735744,2
171,200,37,728735744,2
172,200,43,728735744,1
173,200,50,728735744,2
174,200,46,728735744,5
175,200,94,728735744,2
176,200,57,728739840,1
177,200,92,728866816,5
178,200,100,728866816,4
179,200,23,728866816,3
180,200,40,728866816,2
181,200,20,728866816,6
182,200,60,728866816,2
183,200,41,728866816,3
184,200,19,728866816,3
185,200,51,728866816,3
186,200,89,728866816,3
187,200,26,728866816,6
188,200,42,728866816,4
189,200,43,728739840,12
190,200,34,728739840,4
191,200,32,728739840,4
192,200,31,728739840,1
193,200,30,728739840,2
194,200,66,728739840,1
195,200,40,728739840,3
196,200,33,728739840,1
197,200,61,728612864,4
198,200,40,728604672,5
199,200,32,728604672,4
200,200,64,728612864,2
201,200,41,728612864,9
202,200,35,728612864,6
203,200,32,728612864,1
204,200,45,728612864,5
205,200,28,728612864,3
206,200,143,728612864,3
207,200,27,728612864,2
208,200,30,728612864,3
209,200,45,728612864,4
210,200,34,728612864,5
211,200,15,728612864,7
212,200,64,728612864,5
213,200,23,728612864,3
214,200,36,728612864,2
215,200,34,728612864,2
216,200,18,728612864,1
217,200,48,728612864,3
218,200,21,728612864,5
219,200,25,728604672,4
220,200,22,728604672,9
221,200,24,728604672,21
222,200,34,728588288,4
223,200,55,728588288,10
224,200,18,728588288,11
225,200,37,728588288,5
226,200,29,728588288,5
227,200,21,728588288,23
228,200,46,728588288,1
229,200,41,728580096,5
230,200,26,728580096,4
231,200,23,728588288,4
232,200,25,728588288,5
233,200,37,728612864,14
234,200,23,728612864,2
235,200,37,728739840,2
236,200,28,728739840,6
237,200,46,728739840,2
238,200,84,728739840,1
239,200,41,728612864,3
240,200,24,728604672,2
241,200,14,728612864,4
242,200,38,728612864,2
243,200,58,728612864,5
244,200,27,728612864,5
245,200,38,728485888,2
246,200,44,728485888,10
247,200,31,728612864,3
248,200,46,728612864,2
249,200,40,728612864,3
250,200,35,728612864,1
251,200,32,728612864,4
252,200,31,728485888,3
253,200,49,728485888,3
254,200,23,728612864,8
255,200,23,728612864,5
256,200,35,728612864,3
257,200,41,728612864,5
258,200,44,728612864,2
259,200,31,728612864,3
260,200,49,728612864,6
261,200,25,728731648,7
262,200,28,728604672,3
263,200,22,728612864,6
264,200,42,728612864,2
265,200,23,728612864,1
266,200,29,728612864,1
267,200,33,728612864,6
268,200,85,728612864,3
269,200,28,728612864,1
270,200,25,728612864,2
271,200,59,728612864,2
272,200,26,728477696,4
273,200,63,728477696,4
274,200,23,728485888,4
275,200,29,728485888,2
276,200,23,728485888,4
277,200,35,728485888,1
278,200,52,728485888,2
279,200,84,728485888,3
280,200,24,728485888,2
281,200,26,728485888,5
282,200,20,728485888,1
283,200,27,728485888,3
284,200,26,728485888,1
285,200,26,728485888,1
286,200,55,728485888,9
287,200,38,728485888,5
288,200,33,728485888,5
289,200,86,728485888,3
290,200,32,728485888,5
291,200,30,728485888,6
292,200,30,728485888,4
293,200,24,728358912,5
294,200,202,728350720,1
295,200,14,728485888,4
296,200,35,728485888,2
297,200,23,728485888,3
298,200,69,728485888,4
299,200,35,728494080,4
300,200,22,728494080,2
301,200,35,728494080,6
302,200,25,728367104,4
303,200,94,728367104,3
304,200,25,728367104,4
305,200,44,728358912,3
306,200,24,728358912,2
307,200,29,728358912,4
308,200,57,728358912,3
309,200,46,728358912,8
310,200,28,728358912,3
311,200,59,728358912,3
312,200,419,728358912,3
313,200,77,728358912,3
314,200,64,728350720,4
315,200,45,728358912,4
316,200,56,728358912,5
317,200,50,728358912,6
318,200,16,728358912,4
319,200,29,728358912,2
320,200,26,728358912,2
321,200,43,728358912,1
322,200,30,728358912,4
323,200,48,728358912,3
324,200,34,728350720,3
325,200,17,728350720,2
326,200,23,728358912,1
327,200,24,728358912,4
328,200,27,728358912,1
329,200,48,728358912,3
330,200,34,728358912,26
331,200,23,728358912,15
332,200,24,728334336,2
333,200,26,728334336,6
334,200,22,728342528,2
335,200,55,728342528,7
336,200,54,728342528,15
337,200,27,728342528,14
338,200,24,728342528,2
339,200,18,728342528,2
340,200,22,728342528,2
341,200,45,728342528,3
342,200,21,728342528,10
343,200,27,728240128,13
344,200,29,728240128,1
345,200,33,728248320,4
346,200,22,728367104,3
347,200,23,728371200,5
348,200,48,728371200,2
349,200,42,728371200,1
350,200,34,728371200,4
351,200,18,728244224,2
352,200,36,728371200,5
353,200,29,728371200,3
354,200,25,728371200,4
355,200,31,728371200,8
356,200,30,728371200,3
357,200,22,728371200,1
358,200,71,728371200,4
359,200,17,728371200,2
360,200,34,728371200,1
361,200,27,728371200,2
362,200,24,728371200,6
363,200,28,728244224,2
364,200,53,728244224,5
365,200,26,728244224,8
366,200,56,728244224,4
367,200,24,728244224,2
368,200,115,728244224,4
369,200,25,728244224,2
370,200,23,728244224,1
371,200,26,728117248,9
372,200,31,728117248,4
373,200,33,728117248,5
374,200,24,728117248,2
375,200,25,728117248,4
376,200,18,728117248,3
377,200,37,728117248,2
378,200,31,728371200,8
379,200,22,728371200,3
380,200,36,728371200,2
381,200,63,728371200,3
382,200,38,728371200,5
383,200,59,728371200,2
384,200,64,728371200,4
385,200,22,728371200,5
386,200,20,728371200,3
387,200,33,728371200,3
388,200,54,728371200,1
389,200,51,728240128,7
390,200,23,728244224,3
391,200,113,728244224,5
392,200,23,728244224,2
393,200,26,728244224,4
394,200,26,728244224,1
395,200,32,728244224,4
396,200,18,728244224,3
397,200,31,728244224,3
398,200,30,728244224,2
399,200,41,728244224,4
400,200,30,728236032,3
401,200,34,728244224,3
402,200,19,728244224,4
403,200,117,728244224,1
404,200,36,728244224,4
405,200,65,728244224,3
406,200,43,728244224,5
407,200,18,728244224,4
408,200,46,728244224,5
409,200,50,728244224,2
410,200,20,728236032,4
411,200,19,728236032,2
412,200,99,728244224,4
413,200,42,728244224,7
414,200,49,728244224,3
415,200,34,728244224,1
416,200,27,728244224,1
417,200,23,728244224,3
418,200,67,728244224,3
419,200,17,728244224,8
420,200,22,728236032,2
421,200,20,728236032,3
422,200,13,728244224,3
423,200,21,728244224,2
424,200,17,728244224,6
425,200,39,728244224,3
426,200,46,728244224,6
427,200,25,728244224,4
428,200,22,728244224,3
429,200,25,728244224,3
430,200,16,728252416,3
431,200,65,728244224,2
432,200,50,728252416,4
433,200,24,728252416,4
434,200,17,728252416,3
435,200,37,728252416,2
436,200,19,728252416,2
437,200,30,728252416,2
438,200,64,728252416,2
439,200,23,728125440,3
440,200,46,728252416,4
441,200,62,728252416,4
442,200,39,728125440,25
443,200,55,727965696,6
444,200,34,727965696,6
445,200,18,727965696,9
446,200,29,728092672,1
447,200,23,728092672,4
448,200,44,727797760,23
449,200,29,727838720,3
450,200,38,727838720,2
451,200,19,727830528,5
452,200,115,727838720,2
453,200,42,727838720,8
454,200,49,727863296,11
455,200,53,727736320,4
456,200,44,727863296,1
457,200,18,727863296,3
458,200,43,727863296,2
459,200,86,727863296,3
460,200,87,727863296,1
461,200,31,727736320,7
462,200,32,727863296,6
463,200,27,727863296,4
464,200,38,727863296,2
465,200,22,727863296,2
466,200,55,727863296,4
467,200,48,727863296,4
468,200,23,727863296,7
469,200,29,727990272,3
470,200,34,727990272,1
471,200,31,727990272,3
472,200,30,727982080,2
473,200,41,727990272,3
474,200,41,727990272,37
475,200,36,728117248,6
476,200,37,728117248,4
477,200,35,728117248,3
478,200,31,728117248,4
479,200,37,727990272,2
480,200,36,727990272,2
481,200,66,727990272,4
482,200,29,728117248,7
483,200,43,727990272,5
484,200,74,727990272,6
485,200,99,727990272,2
486,200,30,727990272,4
487,200,45,727990272,3
488,200,64,728117248,3
489,200,26,728117248,5
490,200,16,727990272,4
491,200,32,727990272,3
492,200,24,727990272,2
493,200,32,727990272,2
494,200,26,727990272,2
495,200,57,727990272,3
496,200,64,728117248,2
497,200,22,728117248,1
498,200,23,728117248,7
499,200,27,728117248,4
500,200,36,727990272,4
501,200,31,727990272,2
502,200,52,727990272,4
503,200,36,727990272,2
504,200,26,727990272,2
505,200,30,727986176,4
506,200,40,727990272,4
507,200,25,727990272,2
508,200,44,728117248,6
509,200,25,727990272,2
510,200,19,727990272,5
511,200,21,727990272,6
512,200,16,727990272,2
513,200,37,727990272,4
514,200,28,727990272,4
515,200,110,727986176,2
516,200,20,727982080,3
517,200,56,727994368,5
518,200,21,727994368,2
519,200,28,727994368,5
520,200,52,727994368,5
521,200,13,727994368,4
522,200,14,727994368,4
523,200,43,727994368,2
524,200,18,727994368,2
525,200,28,727994368,3
526,200,91,727994368,2
527,200,40,727740416,44
528,200,21,727740416,6
529,200,29,727740416,4
530,200,50,727740416,4
531,200,77,727740416,2
532,200,37,727740416,4
533,200,73,727740416,3
534,200,26,727867392,8
535,200,40,727867392,1
536,200,29,727867392,3
537,200,23,727867392,5
538,200,21,727867392,1
539,200,42,727867392,4
540,200,32,727867392,5
541,200,41,727994368,3
542,200,64,727994368,8
543,200,28,727994368,4
544,200,23,727994368,3
545,200,23,727994368,2
546,200,36,727994368,3
547,200,52,727867392,3
548,200,29,727994368,4
549,200,46,727994368,1
550,200,16,727994368,3
551,200,32,727994368,8
552,200,36,727715840,24
553,200,30,727715840,6
554,200,19,727588864,4
555,200,13,727588864,3
556,200,28,727588864,5
557,200,44,727588864,1
558,200,27,727461888,14
559,200,33,727461888,15
560,200,20,727461888,6
561,200,27,727461888,1
562,200,59,727461888,4
563,200,52,727461888,1
564,200,35,727461888,11
565,200,39,727232512,11
566,200,45,727232512,2
567,200,33,727232512,3
568,200,17,727232512,3
569,200,32,727224320,4
570,200,22,727232512,1
571,200,33,727232512,7
572,200,39,727359488,29
573,200,26,727359488,1
574,200,33,727359488,2
575,200,33,727359488,6
576,200,27,727359488,8
577,200,62,727359488,4
578,200,119,727359488,2
579,200,87,727351296,8
580,200,66,727351296,4
581,200,71,727351296,2
582,200,47,727359488,2
583,200,28,727359488,2
584,200,32,727359488,4
585,200,24,727486464,6
586,200,64,727486464,4
587,200,22,727486464,2
588,200,27,727486464,3
589,200,26,727486464,4
590,200,44,727478272,1
591,200,64,727486464,4
592,200,34,727613440,7
593,200,17,727613440,4
594,200,24,727613440,1
595,200,22,727613440,2
596,200,28,727486464,3
597,200,26,727486464,3
598,200,36,727613440,4
599,200,37,727613440,2
600,200,32,727613440,1
601,200,70,727613440,3
602,200,17,727613440,4
603,200,16,727613440,6
604,200,37,727613440,2
605,200,34,727613440,6
606,200,61,727613440,2
607,200,17,727613440,4
608,200,31,727613440,2
609,200,40,727613440,2
610,200,28,727613440,3
611,200,54,727613440,7
612,200,69,727605248,2
613,200,38,727613440,1
614,200,83,727613440,3
615,200,30,727613440,6
616,200,22,727613440,1
617,200,28,727613440,6
618,200,68,727613440,3
619,200,22,727613440,4
620,200,51,727613440,3
621,200,24,727613440,4
622,200,29,727605248,4
623,200,57,727605248,3
624,200,28,727613440,3
625,200,65,727613440,1
626,200,50,727613440,3
627,200,39,727613440,4
628,200,22,727613440,1
629,200,26,727613440,2
630,200,20,727613440,7
631,200,18,727613440,5
632,200,17,727613440,4
633,200,17,727613440,3
634,200,57,727613440,2
635,200,27,727613440,2
636,200,56,727613440,2
637,200,39,727613440,6
638,200,17,727613440,2
639,200,64,727613440,1
640,200,25,727613440,4
641,200,25,727613440,2
642,200,40,727613440,1
643,200,35,727613440,4
644,200,45,727613440,4
645,200,22,727613440,9
646,200,44,727613440,3
647,200,23,727613440,3
648,200,25,727613440,3
649,200,22,727613440,4
650,200,20,727613440,9
651,200,19,727613440,8
652,200,183,727613440,1
653,200,73,727613440,2
654,200,46,727613440,2
655,200,19,727478272,2
656,200,43,727605248,1
657,200,28,727613440,6
658,200,30,727613440,3
659,200,35,727613440,6
660,200,19,727613440,2
661,200,23,727613440,2
662,200,33,727613440,4
663,200,37,727445504,30
664,200,31,727715840,3
665,200,26,727715840,4
666,200,47,727457792,6
667,200,57,727588864,3
668,200,26,727588864,2
669,200,58,727588864,28
670,200,25,727588864,6
671,200,20,727588864,3
672,200,22,727461888,1
673,200,27,727461888,2
674,200,29,727461888,1
675,200,50,727461888,14
676,200,55,727351296,1
677,200,34,727351296,2
678,200,26,727461888,9
679,200,28,727486464,2
680,200,35,727613440,6
681,200,46,727486464,4
682,200,22,727613440,2
683,200,34,727613440,1
684,200,18,727613440,1
685,200,38,727613440,6
686,200,26,727740416,5
687,200,24,727744512,3
688,200,26,727736320,2
689,200,26,727744512,3
690,200,24,727744512,4
691,200,177,727744512,2
692,200,76,727617536,3
693,200,39,727617536,3
694,200,33,727617536,3
695,200,27,727617536,4
696,200,99,727617536,2
697,200,44,727617536,5
698,200,34,727490560,5
699,200,28,727490560,1
700,200,36,727490560,3
701,200,31,727490560,4
702,200,46,727490560,3
703,200,127,727490560,6
704,200,28,727490560,7
705,200,18,727490560,3
706,200,59,727490560,2
707,200,37,727490560,3
708,200,32,727490560,3
709,200,51,727490560,2
710,200,87,727490560,3
711,200,35,727490560,9
712,200,41,727490560,1
713,200,22,727490560,2
714,200,20,727490560,1
715,200,30,727490560,2
716,200,29,727490560,3
717,200,51,727490560,6
718,200,36,727617536,2
719,200,29,727609344,2
720,200,23,727617536,1
721,200,33,727617536,3
722,200,21,727617536,4
723,200,24,727617536,2
724,200,74,727617536,3
725,200,73,727617536,4
726,200,63,727744512,4
727,200,17,727617536,4
728,200,32,727617536,1
729,200,43,727617536,4
730,200,214,727609344,1
731,200,39,727617536,4
732,200,20,727744512,5
733,200,24,727744512,6
734,200,24,727617536,1
735,200,25,727617536,3
736,200,25,727617536,1
737,200,34,727617536,4
738,200,49,727617536,5
739,200,35,727744512,8
740,200,63,727736320,4
741,200,35,727744512,6
742,200,35,727744512,1
743,200,83,727744512,1
744,200,44,727617536,3
745,200,45,727617536,10
746,200,35,727617536,3
747,200,34,727617536,5
748,200,38,727617536,3
749,200,34,727617536,2
750,200,43,727613440,2
751,200,29,727609344,5
752,200,19,727609344,3
753,200,46,727617536,2
754,200,33,727617536,2
755,200,19,727617536,4
756,200,17,727617536,2
757,200,85,727617536,4
758,200,101,727617536,4
759,200,63,727617536,4
760,200,50,727617536,2
761,200,49,727609344,5
762,200,32,727617536,3
763,200,58,727617536,3
764,200,31,727617536,8
765,200,69,727617536,4
766,200,39,727617536,3
767,200,59,727617536,6
768,200,43,727617536,3
769,200,50,727617536,4
770,200,23,727744512,5
771,200,35,727617536,3
772,200,66,727613440,2
773,200,17,727465984,27
774,200,34,727465984,2
775,200,55,727465984,6
776,200,22,727465984,8
777,200,19,727465984,8
778,200,39,727465984,2
779,200,45,727465984,24
780,200,45,727465984,5
781,200,25,727465984,7
782,200,55,727330816,3
783,200,28,727330816,3
784,200,24,727339008,4
785,200,22,727465984,14
786,200,39,727490560,5
787,200,72,727490560,4
788,200,25,727490560,3
789,200,109,727490560,2
790,200,32,727490560,2
791,200,37,727490560,2
792,200,253,727617536,3
793,200,51,727609344,1
794,200,39,727617536,4
795,200,37,727617536,6
796,200,111,727617536,4
797,200,19,727617536,3
798,200,48,727617536,5
799,200,28,727617536,6
800,200,23,727617536,8
801,200,41,727617536,3
802,200,27,727617536,3
803,200,31,727617536,1
804,200,34,727617536,4
805,200,68,727617536,2
806,200,36,727617536,2
807,200,42,727617536,5
808,200,31,727617536,1
809,200,34,727490560,4
810,200,44,727490560,3
811,200,68,727490560,4
812,200,33,727617536,5
813,200,26,727617536,3
814,200,27,727617536,5
815,200,26,727617536,3
816,200,85,727617536,3
817,200,33,727617536,2
818,200,31,727617536,6
819,200,19,727744512,1
820,200,31,727744512,1
821,200,32,727744512,3
822,200,35,727744512,1
823,200,50,727744512,2
824,200,51,727744512,4
825,200,38,727617536,6
826,200,26,727617536,3
827,200,33,727617536,3
828,200,41,727490560,2
829,200,38,727490560,3
830,200,24,727490560,1
831,200,52,727490560,6
832,200,46,727363584,6
833,200,49,727490560,2
834,200,95,727490560,2
835,200,51,727482368,1
836,200,35,727482368,2
837,200,52,727490560,3
838,200,90,727490560,4
839,200,17,727617536,3
840,200,42,727617536,5
841,200,15,727617536,3
842,200,20,727617536,1
843,200,24,727617536,4
844,200,31,727617536,5
845,200,37,727613440,3
846,200,40,727482368,4
847,200,25,727482368,2
848,200,40,727490560,2
849,200,43,727490560,3
850,200,22,727490560,1
851,200,24,727490560,5
852,200,24,727617536,5
853,200,41,727609344,5
854,200,71,727609344,3
855,200,19,727609344,3
856,200,44,727601152,2
857,200,68,727486464,2
858,200,41,727486464,5
859,200,27,727486464,8
860,200,19,727486464,6
861,200,37,727494656,3
862,200,65,727494656,4
863,200,17,727494656,2
864,200,24,727486464,1
865,200,51,727486464,3
866,200,236,727486464,7
867,200,32,727486464,4
868,200,27,727486464,4
869,200,25,727486464,2
870,200,30,727486464,5
871,200,33,727486464,5
872,200,53,727486464,4
873,200,41,727486464,5
874,200,21,727486464,8
875,200,21,727486464,3
876,200,144,727478272,2
877,200,115,727486464,2
878,200,145,727486464,3
879,200,88,727486464,1
880,200,48,727486464,4
881,200,48,727486464,2
882,200,320,727486464,18
883,200,20,727461888,5
884,200,467,727461888,1
885,200,474,727453696,2
886,200,739,727334912,12
887,200,146,727334912,3
888,200,29,727334912,3
889,200,33,727334912,3
890,200,20,727334912,6
891,200,48,727232512,14
892,200,98,727232512,3
893,200,22,727232512,3
894,200,16,727224320,2
895,200,26,727232512,2
896,200,25,727359488,6
897,200,17,727359488,3
898,200,18,727359488,1
899,200,24,727359488,4
900,200,69,727359488,4
901,200,22,727359488,2
902,200,45,727359488,3
903,200,34,727359488,8
904,200,36,727232512,2
905,200,25,727351296,4
906,200,30,727359488,3
907,200,23,727359488,4
908,200,46,727359488,4
909,200,48,727359488,5
910,200,23,727359488,5
911,200,33,727359488,3
912,200,24,727359488,4
913,200,54,727359488,3
914,200,55,727359488,7
915,200,56,727351296,4
916,200,27,727224320,4
917,200,31,727232512,5
918,200,39,727232512,2
919,200,20,727232512,7
920,200,37,727232512,2
921,200,32,727232512,1
922,200,80,727232512,4
923,200,21,727232512,4
924,200,74,727232512,1
925,200,35,727224320,3
926,200,44,727232512,5
927,200,44,727232512,6
928,200,52,727232512,4
929,200,26,727232512,4
930,200,27,727232512,2
931,200,45,727232512,2
932,200,28,727232512,3
933,200,30,727232512,4
934,200,44,727232512,4
935,200,53,727097344,4
936,200,42,727097344,4
937,200,30,727097344,6
938,200,49,727105536,5
939,200,41,727105536,4
940,200,22,727105536,4
941,200,23,727105536,4
942,200,36,727232512,2
943,200,21,727359488,3
944,200,91,727359488,2
945,200,35,727359488,7
946,200,33,727359488,4
947,200,281,727359488,3
948,200,21,727232512,3
949,200,49,727232512,2
950,200,22,727232512,7
951,200,23,727232512,1
952,200,29,727232512,2
953,200,23,727232512,2
954,200,33,727232512,5
955,200,20,727232512,2
956,200,52,727224320,3
957,200,26,728121344,13
958,200,59,728248320,2
959,200,59,728248320,3
960,200,34,728248320,5
961,200,30,728248320,5
962,200,21,728248320,3
963,200,26,728248320,7
964,200,26,728248320,2
965,200,24,728248320,1
966,200,50,728248320,3
967,200,30,728248320,3
968,200,28,728248320,2
969,200,35,728248320,5
970,200,42,728121344,3
971,200,21,728121344,3
972,200,23,728121344,2
973,200,67,728121344,1
974,200,22,728121344,6
975,200,20,728121344,2
976,200,37,728121344,2
977,200,22,728121344,6
978,200,31,728121344,3
979,200,29,728121344,1
980,200,17,728121344,3
981,200,85,728121344,8
982,200,29,728375296,3
983,200,30,728375296,4
984,200,23,728502272,7
985,200,61,728502272,5
986,200,76,728502272,3
987,200,34,728502272,4
988,200,22,728502272,4
989,200,27,727961600,27
990,200,64,728088576,4
991,200,56,728104960,1
992,200,76,728104960,4
993,200,27,728104960,2
994,200,33,727977984,3
995,200,37,728104960,33
996,200,26,728096768,3
997,200,23,728096768,3
998,200,40,728096768,3
999,200,44,727961600,5
1000,200,77,727969792,3
1001,200,44,728121344,21
1002,200,78,728121344,5
1003,200,41,728121344,3
1004,200,29,727994368,1
1005,200,38,728248320,4
1006,200,40,728248320,1
1007,200,27,728248320,5
1008,200,278,728248320,1
1009,200,72,728113152,4
1010,200,409,728121344,3
1011,200,34,728121344,9
1012,200,56,728248320,11
1013,200,58,728248320,5
1014,200,41,728248320,2
1015,200,40,728248320,4
1016,200,22,728248320,3
1017,200,65,728121344,5
1018,200,22,728113152,1
1019,200,37,728113152,4
1020,200,30,728113152,3
1021,200,26,728121344,9
1022,200,15,728121344,3
1023,200,35,728121344,2
1024,200,27,728121344,5
1025,200,16,728121344,4
1026,200,16,728121344,2
1027,200,25,728125440,4
1028,200,19,728125440,3
1029,200,23,728117248,7
1030,200,32,728125440,1
1031,200,28,728125440,7
1032,200,22,728125440,5
1033,200,30,728125440,1
1034,200,23,728125440,2
1035,200,41,728125440,2
1036,200,32,728125440,5
1037,200,32,728252416,5
1038,200,15,728252416,6
1039,200,22,728244224,1
1040,200,54,728244224,3
1041,200,22,728244224,1
1042,200,31,728252416,4
1043,200,45,728252416,1
1044,200,27,728252416,4
1045,200,18,728252416,5
1046,200,21,728252416,3
1047,200,41,728252416,4
1048,200,25,728252416,3
1049,200,39,728244224,3
1050,200,46,728117248,3
1051,200,19,728125440,4
1052,200,48,728125440,1
1053,200,30,728125440,2
1054,200,21,728125440,2
1055,200,35,728125440,3
1056,200,39,728125440,3
1057,200,63,728125440,2
1058,200,82,728125440,7
1059,200,20,728125440,2
1060,200,19,728125440,3
1061,200,16,728125440,4
1062,200,51,728125440,3
1063,200,29,728125440,2
1064,200,53,728125440,4
1065,200,60,727998464,5
1066,200,37,727998464,3
1067,200,29,727998464,5
1068,200,44,727998464,3
1069,200,28,727998464,4
1070,200,80,727998464,4
1071,200,26,727998464,6
1072,200,18,727998464,4
1073,200,53,727998464,3
1074,200,51,727998464,4
1075,200,202,727998464,1
1076,200,39,727998464,3
1077,200,73,727998464,7
1078,200,71,727998464,8
1079,200,35,727998464,3
1080,200,26,727998464,2
1081,200,243,727863296,1
1082,200,41,727998464,2
1083,200,21,727998464,5
1084,200,23,727998464,2
1085,200,18,727998464,3
1086,200,25,727998464,5
1087,200,28,727998464,2
1088,200,51,727998464,1
1089,200,47,727998464,2
1090,200,25,727998464,4
1091,200,45,727998464,12
1092,200,70,727998464,3
1093,200,19,727998464,2
1094,200,55,727998464,4
1095,200,22,727998464,6
1096,200,16,727998464,2
1097,200,37,727998464,5
1098,200,25,727998464,22
1099,200,26,727998464,14
1100,200,22,727973888,3
1101,200,36,727973888,4
1102,200,111,728100864,5
1103,200,39,728092672,11
1104,200,27,727973888,21
1105,200,17,727846912,8
1106,200,70,727846912,1
1107,200,24,727846912,2
1108,200,80,727846912,2
1109,200,21,727846912,12
1110,200,36,727846912,23
1111,200,145,727871488,3
1112,200,72,727871488,3
1113,200,37,728117248,9
1114,200,21,728125440,2
1115,200,31,728125440,2
1116,200,47,728125440,2
1117,200,30,728125440,1
1118,200,79,728125440,2
1119,200,39,728125440,5
1120,200,25,728252416,5
1121,200,18,728252416,1
1122,200,198,728252416,1
1123,200,98,728252416,8
1124,200,31,728252416,8
1125,200,35,728252416,5
1126,200,40,728252416,5
1127,200,38,728252416,1
1128,200,23,728252416,2
1129,200,18,728252416,6
1130,200,57,728252416,4
1131,200,92,728252416,1
1132,200,51,728125440,3
1133,200,23,728252416,2
1134,200,18,728252416,7
1135,200,41,728252416,5
1136,200,31,728252416,4
1137,200,35,728252416,3
1138,200,26,728125440,2
1139,200,50,728125440,4
1140,200,26,728252416,4
1141,200,37,728252416,4
1142,200,55,728252416,5
1143,200,23,728252416,2
1144,200,22,728252416,3
1145,200,22,728244224,9
1146,200,42,728125440,5
1147,200,18,728252416,6
1148,200,66,728252416,2
1149,200,53,728252416,4
